title,raised_goal,description,comment
Ayaansh Needs Expensive Drug. You Are Last Hope!!,"$244,903 raised","**Cost of the drug is over $2.1 USD million**
*$1 USD million goal in campaign running in gofundme, over $215k USD collected*
*$2.1 USD million goal in campaign running in India, over $1.7 million USD collected http://impactguru.com/s/aHvvEr*
Ayaansh fights SMA 27th May 2018- the happiest day in the life of Rupal and Yogesh Gupta, the day their son was born. With tears of happiness in their eyes, they named their kid Ayaansh. As their lives began with their new addition to the family, at around 6 months of age, they realized that little Ayaansh was missing the milestones which were usually achieved by other kids his age. He hadn’t started crawling or wasn’t sitting up. They started reading about why this could be happening and thought that it would just be a normal delay and eventually it would happen. Little did they know that something far more severe is happening in their son’s body.



When he didn’t have the control to even hold up his neck at 8 months of age, the parents were worried and took him to Rainbow Children’s Hospital. There, after countless consultations and appointments with multiple specialists, the parents found out that Ayaansh is suffering from SMA, a life-limiting condition where for the majority of children (approximately 95%) life expectancy is less than 18 months. “We felt our lives were shattered when the doctors said that he will not live for more than 4-6 years.”

Currently, Ayaansh is of 2 years and 8 months of age and has a chest deformation called pigeon’s chest. He requires physiotherapy daily for at least 4-5 hours. Completely on a liquid diet, he is unable to swallow properly and on a good day he throws up whatever he eats twice. On an average day, he vomits around 5 times. He needs BiPAP support for breathing for 12 hours a day and often suffers from sleep apnea. Even when he has a cough the little boy needs a tube i.e. catheter to remove the phlegm.

There is only a ray of hope for the little boy, the world’s most expensive medicine – Zolgensma. This is the ideal time for little Ayaansh to take the medicine as it is only approved for children who have a bodyweight of fewer than 13.5 kilograms. Ayaansh’s weight is 10 kilograms. But the world’s most expensive medicine is not possible to arrange for a middle-class couple like the Guptas. 16 crores is an impossible amount to arrange.
Read more","['Manish Shakalya\n$500•3 yrs\nMy family and I pray to God that Ayaansh grows up into a fine young man who believes in the power of Giving before one seeks to Get. #Givebeforeyouseek #SaveAyaanshGupta', 'Saurabh Gupta\n$50•3 yrs\nHope my little contribution help this child in getting his treatment done. I really pray for his well being and speedy recovery. Request other’s as well to donate any possible amount to help Aayash.', 'Priyanka Purohit\n$50•3 yrs\nYou are brave my cute little child ❤️ You will do it and you have to do it!!! We all will pray for you !! God bless you Ayansh❤️ May SaiNath always bless you !!!', 'Avanthi Guptha\n$50•3 yrs\nGood luck Ayaansh. We all are right there with you and ur parents.', 'Shikha Doshi\n$100•3 yrs\nI am now earning my own , I am independent now and I wish to see that kid independent some day .... in every sense . Happy and independent', 'Shreya Velamakanni\n$30•3 yrs\nI donated this sweet boy Ayaansh and his future!', 'N A\n$269•3 yrs\nCome on Ayansh!', 'Roopal Bafna\n$25•3 yrs\nI want to make a difference in someone’s life.', 'lavanya parasa\n$50•3 yrs\nMy prayers for speedy recovery...', 'Nadia Genovese\n$15•3 yrs\nI wish you the best. I hope they lower the price of the medicine. Every child should be helped to live a normal life.']"
Expensive Medication for IBS snd SIBO,"$1,023 raised of $900 goal","Update,

So thanks to Medicare and my secondary ( which I paid $170 for per month) and additional my supposedly good prescription plan if I buy this drug in the United States, I will pay $1427 for the first month of it and $1004 each month after.

If I get approved for this drug in Canada. I will be paying $200 a month. Our healthcare here is broken or prescription plans are horrible patients are struggling and suffering. And there are no words to thank you all for making sure I can take this medicine.
Update : I am working on getting this in Canada at a cheaper price, but I understand that I will be on this medication for months

Read more",[]
Expensive Drugs,"$3,375 raised of $4,000 goal","As most of you know, I was diagnosed with Leukemia on December 17th, 2018. I am doing great, but as I get ready to be discharged I'm getting a punch in the face as to the costs of medications. Deductibles start over in January. My life saving medication is $4000 for 3 months. I only need the funds for 1 month because then I should hit that target deductible. I NEVER thought I would have to ask for money for myself. Everyone has been so generous and caring! I figured if those who can give just $5. We did take money out of our retirement for the initial cost, but it would amazing to put it back in. So, I'm not a beggar, but I'm begging. LOL...I CANNOT imagine those without insurance. I CANNOT imagine those without a loving family and friends. Most important, I CANNOT imagine a life without my savior Jesus Christ who can do all things!",[]
World's costliest drug is Rehansh's only hope,"$46,636 raised of $2,100,000 goal","Imagine if you woke up in the middle of the night. You wish to move but you can’t, no matter how much you try. Sounds scary right? Sadly this is the condition of 9-month-old Rehansh who has Spinal Muscular Atrophy Type 1. The day he was diagnosed, a price was stamped on the child’s life.





It is a genetic disease affecting the entire nervous system, peripheral nervous system, and hence voluntary muscle movement. Maximum nerve cells that control muscles are located in the spinal cord, which accounts for the word spinal in the name of the disease. 







Our Motive is to give him a Fulfilling and Long Lifespan, but the cost of which is something we cannot bear. So does that mean we will lose our child?

We all need to come together in his fight against SMA and donate whatever possible to reach this goal as soon as possible, because time is very crucial since Zolgensma can only sold and administered to patients less than 2 years. Rehansh needs this treatment urgently and we need your help, support, and prayers to save him from a battle he is fighting everyday for his life.

Please find Rehansh's complete medical report here -



Please donate whatever you can spare. Every donation will count towards saving Rehansh and giving him a chance at living a good and fulfilling life. Alone the parents cannot bear to save little Rehash but together it is not impossible. The times are hard for everyone, and we're forever grateful for your help. Even if you're unable to donate, please share this as much as you can on social media and make this miracle happen.

We are in for the long haul in our fight against this deadly disease. The best course of action is to raise awareness and get the necessary infrastructure set up to reduce the cost of treatment. Only time and continuous lobbying will contribute to long-lasting change.

One of the best feelings in the world is Saving a Life. Your donation will not only help our son live his life but will help us preserve our Family. Thank you all in advance for your support and contributions. We're forever grateful to you all.
Read more",[]
Expensive Drugs,"$3,375 raised of $4,000 goal","As most of you know, I was diagnosed with Leukemia on December 17th, 2018. I am doing great, but as I get ready to be discharged I'm getting a punch in the face as to the costs of medications. Deductibles start over in January. My life saving medication is $4000 for 3 months. I only need the funds for 1 month because then I should hit that target deductible. I NEVER thought I would have to ask for money for myself. Everyone has been so generous and caring! I figured if those who can give just $5. We did take money out of our retirement for the initial cost, but it would amazing to put it back in. So, I'm not a beggar, but I'm begging. LOL...I CANNOT imagine those without insurance. I CANNOT imagine those without a loving family and friends. Most important, I CANNOT imagine a life without my savior Jesus Christ who can do all things!",[]
"#ForTinu, COVID Recovery, Expenses & Cancer Drugs","$149,170 raised of $237,830 goal","Tinu, a devoted advocate and volunteer for Black women and disabled people, lives with cancer and asthma and is now hospitalized with COVID pneumonia. As a high-risk person, she and her family need our help: cancer is expensive, and without her income this month while she is in the hospital, she and her household need financial support. Hospital stays are expensive—please help her.

Also, please help advocate for and enact public health policies that center the people who are most impacted by and high risk for COVID, especially people like Tinu. As Tinu writes, if you would wear a ribbon for a cancer patient, you should be wearing a Mask for Everyone.

#ForTinu Please share this fundraiser with the hashtag #ForTinu",[]
Rise Up for Rhys,"$403,470 raised of $500,000 goal","Baby Rhys was diagnosed with SMA at 6 months old and needed a life saving drug that cost $2.1 million. She was able to get Zolgensma in August of 2020 and has responded well to the treatment. Thankfully, much of the cost of this expensive drug was covered by insurance. Funds raised here will continue to go towards the many remaining costs for Rhys’s ongoing care including co-pays and deductibles, doctors visits, physical therapy, mobility equipment, ADA adjustments to the Devine’s home to accommodate and supports Rhys’s mobility, and to continue to spread awareness of SMA so that other babies receive diagnosis and treatment before it’s too late. Thank you for your support. Follow Rhys’s story and current updates on Instagram @RiseUpForRhys

In May of 2019 while on vacation in Scotland, Rory and I found out we were pregnant (though I already knew - mother’s intuition kicks in early!)  Our baby girl was due on Christmas Day, and after a perfectly healthy pregnancy and 20 hours of labor, we welcomed her 3 weeks early on December 4, 2019 at 12:13pm. Even though I had sworn not to give my children confusing-to-pronounce Welsh names as my mother had done to me, we decided to name her Rhys (pronounced Reese).


Rhys had been a healthy baby, loving her baths, walks outside, and cuddles and kisses from her doggies. As Rhys approached 4 months, that mother’s intuition was nagging me - I noticed that she seemed to be falling behind on milestones other babies her age were hitting. She always struggled with tummy time, and wasn’t able to roll over or hold her head up for very long. At her 4 month check up, our pediatrician said she just had low muscle tone and recommended physical therapy. a genetic condition we had never heard of before. 


A quick Google search, confirmed every parent’s greatest fear: ""The number 1 genetic disease that kills most babies up to 2 years old."" Appointments with Geneticists and Pediatric Neuro-muscular Specialists were set, blood and saliva tests ordered, and the waiting began. We hoped it was something else less severe, easier to treat, less devastating. ANYTHING but SMA. After 2 weeks, the longest 2 weeks of our lives, we received the heartbreaking diagnosis - Rhys has SMA Type 1, the most severe form of the disease.


SMA is a terminal muscle degenerative disease, affecting eating, speaking, moving and even breathing. It results in muscle wasting where infants often die of respiratory failure before reaching the age of two. It is so rare that just a few years ago, there was no treatment. Parents had to watch as their child was able to move less and less, becoming unable to eat and breath on their own.

One treatment, SPINRAZA, works on the SMN2 gene, which is a less active copy of the SMN1 gene (the gene that is missing/non-functioning in a person with SMA). By boosting production of SMN2, SPINRAZA supports muscle development and provides a level of improvement. SPINRAZA is very expensive at $750K in the first year and $375K every year thereafter for life. In August of 2019, a new gene therapy, ZOLGENSMA was approved by the FDA. It replaces the missing/non-functioning SMN1 gene with a new functional copy. This medicine provides life changing improvement, some patients are even able to walk independently. Such a miracle drug comes at a cost, and ZOLGENSMA is the most expensive drug in the world at $2.1 million USD.


Because SMA Type 1 is aggressive and degenerative, this is a race against time. With each day that passes, motor neurons in Rhys’ sweet little body are becoming inactive. All funds raised will go to Rhys’s medical care including gene therapy (out-of-pocket responsibility outside of insurance not known at this time), physical and occupational therapy, mobility and development equipment, etc. She has a lifetime ahead of her and will need continuous treatment for the best chance at a full life. In the case there are additional funds beyond Rhys’s needs, they will go to Cure SMA, an organization dedicated to raising awareness for this devastating disease. 

Every child should have the best possible chance at life - please join us to surround our happy little girl in love and support.

Find more info and stay tuned to www.RiseUpForRhys.com for updates. Share and invite others to support Rhys

Read more",[]
Expensive Medication for IBS snd SIBO,"$1,023 raised of $900 goal","Update,

So thanks to Medicare and my secondary ( which I paid $170 for per month) and additional my supposedly good prescription plan if I buy this drug in the United States, I will pay $1427 for the first month of it and $1004 each month after.

If I get approved for this drug in Canada. I will be paying $200 a month. Our healthcare here is broken or prescription plans are horrible patients are struggling and suffering. And there are no words to thank you all for making sure I can take this medicine.
Update : I am working on getting this in Canada at a cheaper price, but I understand that I will be on this medication for months

Read more",[]
Extraordinary Medical Costs for Little Ayah,"$1,644,421 raised","I'm Kati Wilkins, and recently a dear friend from my days living in Sweden reached out to me about a colleague's daughter who has a rare genetic disorder. Beautiful Ayah just turned 1 this January, and needs help getting treatment for her disorder. The family lives next-door in Denmark, and the most effective treatment is currently not approved in her country, so she hopes to bring her daughter here to the US for treatment. The problem is, the treatment she needs is one of the most expensive in the world! 

This GoFundMe account is to help Ayah's family raise the funding needed for her treatment and associated travel expenses. Times are tough for everyone, but if you're able to spare some extra funds, please do so. Also, please share this story widely.  Also, please be sure to read their story below. Anything you can give helps! We are trying to raise for , so any help you can give will go a long ways.


This is  (born on ), a bubbly little princess who likes to smile a lot. Ayah has a rare genetic and degenerative disorder called

 is a rare genetic disease that affects the central nervous system, voluntary skeletal muscle movement, and the peripheral nervous system (the connection between the central nervous system and the rest of the body). As a result,  affects basic motor functions such as walking, hand movements and  feeding. After  progression, the patients lose the ability to swallow, breathe and eventually die.  

 affects one in

 developed like a normal child by age and achieved the appropriate milestones. After 10 months,  was diagnosed with  through genetic testing after we questioned her sudden regress of achieved developmental milestones and minimal use of her legs. Prior to this, we had never heard of .

Since the diagnosis,  has been put on Spinraza, a prescription drug administered as a spinal injection throughout a patient’s life. Spinraza increases the ability of the  (which is a back up of the -the one that  is missing) to produce protein which in turn improves motor functions and survival.

 is a  gene therapy treatment for kids under the age of 2. It  the missing  with a new, working copy that helps motor neuron cells work properly and survive but it’s currently the most expensive drug in the world at $2.1 million. It is NOT a cure since it does not reverse damage already caused by SMA before treatment. However, with supportive therapy, it has by far shown the best results. It is recommended that the earlier the patient receives the treatment, the better.

We are fortunate and  to the Danish healthcare system for giving  Spinraza. However as parents, we cannot leave the approval of gene therapy in Denmark to chance and hope that, it will be ready before Ayah turns 2 years old. As any parent, we wish the best for our child, but even more so in regards to her health. Besides  only having to be , it has  in clinical testing.




The goal is to raise enough funds (15 million DKK)to cover the costs of the gene-therapy treatment  and additional expenses like travel, consultation fee and accomodation during her treatment abroad.  By giving Ayah this treatment, we hope to give her an almost normal childhood where she will be able to play with her big sister without any major obstacle.












REFERENCE: 


About me:
Mary, Little Ayah's mother, reached out to me through a friend to set up an American GoFundMe account on her behalf, as GoFundMe requires an American to handle American accounts. I am acting as her pro-bono fundraiser. All funds will be sent directly to Mary to use for Ayah's treatment and stay in the US while her daughter is receiving care. I will not take any portion of any funds raised. We deeply appreciate your kind contributions!
Read more",[]
Expensive Drugs,"$3,375 raised of $4,000 goal","As most of you know, I was diagnosed with Leukemia on December 17th, 2018. I am doing great, but as I get ready to be discharged I'm getting a punch in the face as to the costs of medications. Deductibles start over in January. My life saving medication is $4000 for 3 months. I only need the funds for 1 month because then I should hit that target deductible. I NEVER thought I would have to ask for money for myself. Everyone has been so generous and caring! I figured if those who can give just $5. We did take money out of our retirement for the initial cost, but it would amazing to put it back in. So, I'm not a beggar, but I'm begging. LOL...I CANNOT imagine those without insurance. I CANNOT imagine those without a loving family and friends. Most important, I CANNOT imagine a life without my savior Jesus Christ who can do all things!",[]
World's costliest drug for baby Ayansh,"€2,174 raised of €500,000 goal","Update 1 :-
Dear Donors
Thank you very much for your generous contributions towards Baby Ayansh. A few weeks ago the mere thought of arranging Rs 16 crores sent shivers down our spine. However, your outpour of love and support has turned that fear into faith as now we believe that Ayansh’s life will be saved with the help of kind souls like you. 
Ayansh has to do physiotherapy on a regular basis. This is very important for him as he has to maintain the remaining muscle function he has. 
———————————
Ayansh's CONDITION

My cousin, baby Ayansh, at a very early age, is diagnosed with Spinal Muscular Atrophy. The disorder attacks the baby’s nerves and muscles, and as it progresses, makes it extremely difficult for them to carry out basic activities like sit up, lift their head, swallow milk, and even breathe.




SMA affects 1 in 10,000 babies and is the #1 genetic cause of infant death worldwide.




We, as Ayansh's parents, want to give him, a lively and happy childhood, his best chance to not only survive but also live a fulfilled, long and normal life.




TREATMENT OPTIONS IN INDIA

As of now, there are no treatment options available in India for this invisible killer. Our only hope for Ayansh to have a normal life is to be able to import Zolgensma, a one-time gene replacement therapy, which in his current state could be a potential “cure”.




Zolgensma comes at a steep cost of INR 16 crores (USD $2.1 million).




WHAT YOU CAN DO TO HELP

Donate money. Please donate with your heart so we can save our Ayansh's life.
Contribute your time. We are in for the long haul in our fight against this deadly disease. The best course of action is to raise awareness and get the necessary infrastructure set up in India. Only time and continuous lobbying will contribute to long-lasting change.
Spread the word. Healthy parents could have a genetically affected baby. Genetic testing is in a nascent state in India, with limited labs and clinics available for diagnosis. Tell others about genetic testing, so this becomes a common practice as it is in most western countries like USA and Canada, where genetic screening is part of post-natal care.


Read more",[]
Steve (Papa) needs a life saving drug,"$3,670 raised of $500,000 goal","To family, friends, and all other’s this may reach,

I am Lori Wangsness, the wife of Steven Wangsness. Together with his son Chris and daughter Corrine, we are fundraising on Steve’s (aka Papa’s) behalf to help save his life. Steve is a cancer survivor only to develop a very rare blood clotting disorder and is in need a very expensive drug that is not covered by his medical insurance to treat the disorder.

Steve was diagnosed with cancer in June, 2019. During the next year, he had multiple surgeries and extensive treatments that compromised his immune system, left him weak, exhausted, and very thin. While there were times he felt helpless, his family (especially his beautiful granddaughters) provided the support and encouragement needed and he became more determined to conquer this horrible disease and enjoy life again with his family and friends.









Read more",[]
"The recovery from addiction,help with legal costs",$450 raised,"Hi, my name is Alex Chapman and I’m raising money to help with my recovery from addiction and it’s toll on my life. I’ve been struggling with hard drugs since 2017 and it’s taken everything from me. In 2018, I was arrested for drug charges and larceny and subsequently sent to prison. The justice system saw fit to send me to a high level penitentiary and I never had the opportunity to receive drug treatment. In prison due to my size I was targeted for extortion and sexually assaulted more than once. When I was released, I relapsed and violated my probation. They sent me back for 21 more months to a higher security prison and there the abuse was horrendous. I witnessed men murdered and was raped multiple times. This was a trauma I never wish on my worst enemy. This is also very difficult because I’ve never opened up to even my family about my abuse. This trauma has made life for me so hard due to not being able maintain a job, and suicidal thoughts and attempts, social anxiety, and fear of people. My mental health exacerbated by my PTSD, anxiety, and major depression impact my social life. I use to deal with my fear of the the same happening to me again. It’s given me a false confidence to face people. However, I’ve reached a point where I need help more than ever. My drug abuse became much worse since my release recently and I am genuinely trying to change my life. However, due to my inability to maintain sobriety, probation has violated me once again. I know I can’t maintain this anymore and I want to face these demons. I want my sanity back and I want to be clean. My financial situation is dire and my family has my brothers to care for so their finances are tight as well. I’m asking for help to not only pay for a lawyer, but to get treatment at a rehab and pay for counseling, housing, medications, and to start my new journey. I’m proud to say I’m 54 days clean and doing well. Please help me begin to heal from my wounds and bring attention to our flawed system. I’m a young, non- violent drug addict who had a short sentence and they sent me to a place that houses murderers, rapists, violent criminals, and death row inmates to be extorted, raped, and beaten by men with nothing to lose! Our system needs change and it starts with you! Thank you for your support and God bless you all!
Read more",[]
Medical Expenses for High School Student,"$3,203 raised of $5,000 goal","James and his brother are recent victims of gun violence in Aiken, South Carolina. They have been in the hospital for several days and their medical expenses are increasing daily. His mother is missing work to be with her sons while they remain in the hospital. Please consider donating to help support James, his brother, and his family during this difficult time.",[]
Jacob and Brooke's Medical Expenses,"$21,775 raised of $30,000 goal","My nephew, Jacob, was admitted to the hospital on February 1st with kidney failure.

After suffering from what seemed like a bad stomach bug for a couple of days, Jacob went to urgent care. At urgent care, Jacob's blood pressure was extremely high and he was sent to the ER. After several hours of high blood pressure readings and a bunch of blood work showing very abnormal kidney blood levels, he was admitted to WakeMed Cary where he spent the past 11 days. Jacob was treated for high blood pressure and eventually began dialysis to improve his condition. He also underwent a kidney biopsy to determine the cause of his kidney failure.










Read more","['Omar Mrani\n$100•2 mos', 'Margie Barks\n$300•1 yr\nThe Barks family loves you all very very much!!']"
Help with high medical expenses for sudden illness,"$2,690 raised of $3,000 goal",Read more,"['Lynne Brown\n$40•4 yrs\nPraying that all will soon be well with Brian. God bless you both.', 'Cindy Dunn\n$50•4 yrs\nPrayers', 'Laura Luka\n$25•4 yrs\nHoping you find an answer soon and Brian gets proper treatment ❤️ All our love', 'Duncan Jones\n$20•4 yrs\nAll the best Brian, hope you get sorted soon. Haway, the lad!', 'Barbara Arenal\n$15•4 yrs\nHoping they find a diagnosis and Brian gets better. Paws crossed for you!', 'Lori Stebritz\n$50•4 yrs\nI hope you get some solid answers soon. Love you.', 'Jane McGee\n$25•4 yrs\nWishing you both all the best']"
