link,type,text,Link,Type,Text
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2893303/,abstract,"This study developed a new measure of medication affordability that examines out-of-pocket drug expenses relative to available household resources. The authors assessed the spending patterns of ~2.1 million poor households (≤100% federal poverty level) of adults aged 51 and older by Medicaid status. The data were drawn from the 2000–2001 Health and Retirement Study. Household spending was categorized into three broad types: basic living, health care, and discretionary. Older (aged 51 or older) poor households without Medicaid allocated about 72% of their total resources ($17,421, SE $783) to basic living needs. In comparison, those with Medicaid had scarcer total resources ($12,498, SE $423) and allocated 85% to basic living needs. Medication costs consumed the largest proportion of health care expenses for both types of poor households (Medicaid: $463, SE $67; non-Medicaid: $970, SE $102). After paying for basic living needs and health care costs, these families had, on average, only $16 left each week. Poor families have very few resources available for anything beyond basic living needs, even when they have Medicaid coverage. There is no great reservoir of discretionary funds to pay for increases in cost-sharing under Medicaid and Medicare Part D."
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2893303/,keywords,"Affordability, low-income, prescription drugs"
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8438819/,title,Lowering drug prices and enhancing pharmaceutical ...
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8438819/,abstract,"To cope with the increasing healthcare costs brought about by the universal health insurance programme, national volume-based procurement (NVBP) was implemented in China to reduce drug prices. However, the impact of NVBP remains unknown. We reported the effects of the NVBP pilot programme on medication affordability and discussed the challenges and recommendations for further reforms. A total of 25 molecules won the bidding in the NVBP pilot programme, and price cuts ranged from 25% to 96%. Medication affordability was measured as the number of days’ wages needed to pay for a course of treatment, and the medication was identified as affordable if the cost of a treatment course was less than the average daily wage. After the NVBP, the proportion of affordable drugs increased from 33% to 67%, and the mean affordability improved from 8.2 days’ wages to 2.8 days’ wages. Specifically, for rural residents, the proportion of affordable drugs increased from 13% to 58%, and the mean affordability improved from 15.7 days’ wages to 5.3 days’ wages. For urban residents, the proportion of affordable drugs increased from 54% to 71%, and the mean affordability improved from 5.9 days’ wages to 2.0 days’ wages. Implementing the NVBP substantially improved medication affordability. In future reforms, a multifaceted approach addressing all issues in the health system is needed to enhance medicine access."
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8438819/,keywords,health policy
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9793302/,title,Utilizing clinical pharmacists and a medication assistance ...
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9793302/,abstract,"Medication Assistance Programs (MAP) provide needed medications to uninsured and underinsured patients. In 2019, 24% of adults had difficulty affording their medications. Literature has shown enrollment in MAP decreased emergency department (ED) visits, hospital admission, and total hospital cost."
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9793302/,keywords,"Medication assistance program, Prescription assistance program, Underserved patients, Pharmacists, Vulnerable populations, Insurance coverage"
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9326716/,title,Barriers Associated with Access to Prescription ...
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9326716/,abstract,"This study describes access to prescription medications and examines personal, financial, and structural barriers associated with access to prescription medications in patients with type 2 diabetes treated at Federally Qualified Health Centers. We used a cross-sectional design to analyze data retrieved from the 2014 Health Center Patient Survey. Adult participants who self-reported having type 2 diabetes were included in this study. Predictor variables were categorized into personal, financial, and structural barriers. Outcomes include being unable to get and delayed in getting prescription medications. Chi-square and multivariable regression models were conducted to examine associations between predictor and outcome variables. A total of 1097 participants with type 2 diabetes were included in analyses. Approximately 29% of participants were delayed, and 24% were unable to get medications. Multivariable regression results showed that personal barriers, such as federal poverty level, health status, and psychological distress were associated with being unable to get medications. Financial barriers including out-of-pocket medication cost and employment were associated with access to prescription medications. Type of health center funding program as a structural barrier was associated with access to medications. In conclusion, multi-level tailored strategies and policy changes are needed to address these barriers to improve access to prescription medications and health outcomes in underserved patient populations."
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9326716/,keywords,"access to prescription medications, barriers, Federally Qualified Health Centers, type 2 diabetes mellitus"
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10037618/,title,Medication-Related Outcomes and Health Equity
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10037618/,abstract,"Marginalised people experience diminished access to pharmaceutical care and worse medication-related outcomes than the general population. Health equity is a global priority. This article explores the key evidence of health inequity and medication use, structures the causes and contributory factors and suggests opportunities that can be taken to advance the pharmaceutical care agenda so as to achieve health equity. The causes of, and contributors to, this inequity are multi-fold, with patient- and person-related factors being the most commonly reported. Limited evidence is available to identify risk factors related to other aspects of a personal medication use system, such as technology, tasks, tools and the internal and the external environments. Multiple opportunities exist to enhance equity in medication-related outcomes through pharmaceutical care research and practice. To optimise the effects and the sustainable implementation of these opportunities, it is important to (1) ensure the meaningful inclusion and engagement of members of marginalised groups, (2) use a person-centred approach and (3) apply a systems-based approach to address all of the necessary components of a system that interact and form a network as work processes that produce system outcomes."
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10037618/,keywords,"pharmaceutical care, medicine optimisation, marginalisation, minority groups, health equity, health inequality, patient safety"
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7573467/,title,Consumption and Lack of Access to Medicines ...
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7573467/,abstract,"We aimed to investigate the consumption and lack of access to medicines in the adult population of Manaus, Amazonas.A population-based study was conducted in Manaus in 2019. Individuals aged ≥18 years were selected by probabilistic sampling performed in three stages. Study outcomes included the consumption of medicines in the previous fortnight and the lack of access to treatments in those who used any medicine. We calculated the prevalence ratios (PR) for the outcomes with 95% confidence intervals (CI) by Poisson regression with robust variance, considering the complex sampling design.Out of the 2,321 participants, 53.2% (95%CI 50.7-55.7%) consumed medicines, of which 14.4% (95% CI 11.9–16.8%) could not obtain appropriate treatments. Analgesics were the most used medicines (557/2,702; 21.4%), whereas antibiotics were the most inaccessible treatments (18/228; 7.9%). Lack of financial resources was the main reason for not accessing treatments (104/228; 45.6%). Consumption was significantly associated with older age (≥60 years: PR = 1.27; 95%CI 1.09–1.49), lower social class (D/E: PR = 0.84; 95%CI 0.72–0.99), lower educational level (p = 0.039), poor health status (PR = 1.30; 95%CI 1.11–1.52), use of health care services (PR = 1.37; 95%CI 1.26–1.49), and chronic diseases (PR = 1.36; 95%CI 1.22–1.52). Lack of access was higher in people with poor health status (PR = 2.46; 95%CI 1.50–4.04) and chronic diseases (PR = 1.84; 95%CI 1.16–2.92).Half of Manaus’ population used medicines, which was higher in socially privileged and sicker individuals. Among those, 14 in every 100 could not access drug therapies, which was more frequent in people with poor health and with chronic diseases."
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7573467/,keywords,"drug utilization, Access to Essential Medicines and Health Technologies, health services accessibility, cross-sectional studies, Brazil"
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6901066/,title,Access to medicines through health systems in low
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6901066/,abstract,"Nearly 2 billion people globally have no access to essential medicines. This means essential medicines are unavailable, unaffordable, inaccessible, unacceptable or of low quality for more than a quarter of the population worldwide. This supplement demonstrates the implications of poor medicine access and highlights recent innovations to improve access to essential medicines by presenting new research findings from low- and middle-income countries (LMICs). These studies answer key questions such as: Can performance-based financing improve availability of essential medicines? How affordable are cardiovascular treatments for children? Which countries’ legal frameworks promote universal access to medicines? How appropriately are people using medicines? Do poor-quality medicines impact equity? Answers to these questions are important as essential medicines are vital to the Sustainable Development Goals and are central to the goal of achieving Universal Health Coverage. Access to affordable, quality-assured essential medicines is crucial to reducing the financial burden of care, preventing greater pain and suffering, shortening the duration of illness, and averting needless disabilities and deaths worldwide. This supplement was organized by the Medicines in Health Systems Thematic Working Group of Health Systems Global, a membership organization dedicated to promoting health systems research and knowledge translation. The five studies in the supplement further our understanding by showcasing recent successes and challenges of improving access to quality-assured medicines through health systems in LMICs."
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6901066/,keywords,"Access, medicines, drugs, pharmaceuticals, developing countries, public health, health systems"
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8287090/,title,Determinants of drug prices: a systematic review ...
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8287090/,abstract,"In this systematic review on drug price comparison studies, we report on recent determinants of drug prices in a national and international context to facilitate regulation of drug prices by purchasers and policymakers worldwide. Determinants of drug prices were divided into non-modifiable and modifiable and were categorised as pertaining to a country’s income level, pharmaceutical market system and its policies and government.Determinants of drug prices or price variance.We systematically searched PubMed, EMBASE, Web of Science and Cochrane Library for peer-reviewed articles published between 2004 and 22 July 2020 that reported an association of the primary outcome with one or more determinants. We performed a best-evidence synthesis of these associations for determinants covered in at least three studies.31 publications were included. Only one publication described net drug prices and 30 described retail drug prices. Five modifiable determinants were associated with lower retail prices: generic market portion, discounts, tendering policies, central (governmental) purchasing and pricing regulation schemes. The originators market portion and a system in which mark-ups are common were associated with higher retail prices. Retail prices were highest in the USA, even compared with other high-income countries. A positive association between national income level and drug retail prices could not be established among middle-income and high-income countries. Retail prices were highest in low-income countries when adjusted for purchasing power parity.Literature on determinants of net drug prices is extremely sparse. Various healthcare system interventions, market-specific and governmental regulations are consistently associated with lower retail prices. Some interventions are easily implementable in developing or middle-income countries, such as tendering, central purchasing and fixed pricing regulation schemes. Net drug price comparison studies are needed to overcome the lack of price transparency and to quantify the effectiveness of policy measures on net drug prices."
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8287090/,keywords,"health economics, health policy, qualitative research, public health, health services administration & management"
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8299364/,title,"Drug Shortage: Causes, Impact, and Mitigation Strategies"
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8299364/,abstract,"Drug shortage is a global issue affecting low, middle, and high-income countries. Many countries have developed various strategies to overcome the problem, while the problem is accelerating, affecting the whole world. All types of drugs, such as essential life-saving drugs, oncology medicines, antimicrobial drugs, analgesics, opioids, cardiovascular drugs, radiopharmaceutical, and parenteral products, are liable to the shortage. Among all pharmaceutical dosage forms, sterile injectable products have a higher risk of shortage than other forms. The causes of shortage are multifactorial, including supply issues, demand issues, and regulatory issues. Supply issues consist of manufacturing problems, unavailability of raw materials, logistic problems, and business problems. In contrast, demand issues include just-in-time inventory, higher demand for a product, seasonal demand, and unpredictable demand. For regulatory issues, one important factor is the lack of a unified definition of drug shortage. Drug shortage affects all stakeholders from economic, clinical, and humanistic aspects. WHO established global mitigation strategies from four levels to overcome drug shortages globally. It includes a workaround to tackle the current shortage, operational improvements to reduce the shortage risk and achieve early warning, changes in governmental policies, and education and training of all health professionals about managing shortages."
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8299364/,keywords,"medicine shortage, drug shortage, definitions, causes, impacts, mitigation strategies"
,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7573467/,title,Consumption and Lack of Access to Medicines ...
